x_pos	y_pos	psi	fspeed	blank	ws	ori
-530	1000	0	53	0	0	0
-477	1000	0	53	0	0	0
-424	1000	0	53	0	0	0
-371	1000	0	53	0	0	0
-318	1000	0	53	0	0	0
-265	1000	0	53	0	0	0
-212	1000	0	53	0	0	0
-159	1000	0	53	0	0	0
-106	1000	0	53	0	0	0
-53	1000	0	53	0	0	0
0	1000	-1.570796	53	0	0	0
0	947	-1.570796	53	0	0	0
0	894	-1.570796	53	0	0	0
0	841	-1.570796	53	0	0	0
0	788	-1.570796	53	0	0	0
0	735	-1.570796	53	0	0	0
0	682	-1.570796	53	0	0	0
0	629	-1.570796	53	0	0	0
0	576	-1.570796	53	0	0	0
0	523	-1.570796	53	0	0	0
0	470	-1.570796	53	0	0	0
0	417	-1.570796	53	0	0	0
0	364	-1.570796	53	0	0	0
0	311	-1.570796	53	0	0	0
0	258	-1.570796	53	0	0	0
0	205	-1.570796	53	0	0	0
0	152	-1.570796	53	0	0	0
0	99	-1.570796	53	0	0	0
0	46	-1.570796	53	0	0	0
